Monster Spoilers for 変愚蛮怒 3.0.0Alpha19
------------------------------------------

Name                                          Lev  Rar  Spd      Hp      Ac          Visual Info
--------------------------------------------- ---  ---  ---   -----   -----  -------------------
    やせこけた馬                                0    1   +0     4d5       5       オレンジの 'q'
    馬                                          5    1   +0    11d8      30       オレンジの 'q'
    チォコヴォ                                  8    3   +0     8d8      35           黄色の 'B'
    あばれ馬                                    9    2   +0   12d10      30       明るい緑の 'q'
    ヒッポカンポス                             11    1   +0    20d9      14       明るい青の 'H'
    ヒポグリフ                                 15    1   +5     400      60   明るい琥珀色の 'H'
    グリフォン                                 15    1   +5     300      50         琥珀色の 'H'
    キャリオン                                 15    1   +5     300      50   明るい青灰色の 'B'
    塹壕ワーム                                 15    1   +5     300      50           灰色の 'w'
    発光カヴー                                 15    1   +5     300      60             緑の 'q'
    巨大タコ                                   15    2   -5   30d11      60             紫の 'l'
    スフィンクス                               17    2   +0    60d5      80       オレンジの 'H'
    双頭ヒドラ                                 17    2   +0   100d3      60         琥珀色の 'M'
    キメラ                                     20    1   +0    13d8      15           黄色の 'H'
    汗血馬                                     20    2   +5   20d15      70       明るい赤の 'q'
[U] アルドゥインの尖兵『ミルムルニル』         21    3   +5     510      80       オレンジの 'd'
[U] 幻影の狩人『サーロクニル』                 21    3   +5     510      80       明るい青の 'd'
    ワイバーン                                 22    2  +10   100d5      65       明るい緑の 'd'
    四首ヒドラ                                 24    2  +10   100d6      70   明るい琥珀色の 'M'
    ティラノサウルス                           24    2  +10   200d3      70             緑の 'R'
    ザイクロトル族                             25    2   +0     625      60           灰色の '#'
    黒チォコヴォ                               25    7   +5   25d20      45           灰色の 'B'
    ヤング・ブルー・ドラゴン                   25    1   +0     300      50             青い 'd'
    ヤング・ホワイト・ドラゴン                 25    1   +0     300      50             白い 'd'
    ヤング・グリーン・ドラゴン                 25    1   +0     300      50             緑の 'd'
    ヤング・ブラック・ドラゴン                 25    1   +0     300      50           灰色の 'd'
    グノフ＝ケー                               26    2   +0   20d15      50         青灰色の 'q'
    ヤング・レッド・ドラゴン                   26    1   +0     345      60             赤い 'd'
    ゴーゴンキメラ                             27    2   +0   25d20      55           灰色の 'H'
    シャンタク鳥                               27    2  +10   25d20      55           灰色の 'B'
    五首ヒドラ                                 28    2  +10   100d8      80             緑の 'M'
    ヤング・ブロンズ・ドラゴン                 29    3   +0     330      65   明るい琥珀色の 'd'
    カトブレパス                               29    2   +0   30d10      55             緑の 'q'
    骸骨ティラノサウルス                       30    2  +10   50d10      55             白い 'R'
    マンティコア                               30    2  +10     250      15       オレンジの 'H'
    ヤング万色ドラゴン                         30    1   +0     420      60           万色の 'd'
    ゴーゴン                                   31    2   +0   30d20      88             青い 'H'
    巨大イカ                                   32    3   +0     800      80             緑の 'l'
    サンダーバード                             32    3  +10   20d25      30           黄色の 'B'
    バランス・ドレイク                         33    3   +0     600      80           万色の 'd'
    天上界ドレイク                             33    2   +0     450      80       オレンジの 'd'
    カオス・ドレイク                           33    3   +0     500      80           万色の 'd'
    ロー・ドレイク                             33    3   +0     550      80   明るい青灰色の 'd'
    ヤング・クイックシルバー・ドラゴン         33    2   +5     380      90         青灰色の 'd'
    ホワイト・ドラゴン                         33    1   +5     400      70             白い 'd'
    ブルー・ドラゴン                           33    1   +5     400      70             青い 'd'
    グリーン・ドラゴン                         33    1   +5     400      70             緑の 'd'
    ブラック・ドラゴン                         33    1   +5     400      70           灰色の 'd'
    ペガサス                                   34    6   +5   30d20     100             白い 'q'
    ドゥーム・ドレイク                         34    3   +0     440     100             紫の 'd'
    レッド・ドラゴン                           34    1   +5     460      75             赤い 'd'
    大鷲                                       35    2  +25   5d100      65         琥珀色の 'B'
    万色ドラゴン                               35    2   +5     640      65           万色の 'd'
    ムーマク                                   35    3   +0   90d10      55         青灰色の 'q'
[U] 原初への裏切り『オダハヴィーング』         35    3  +10    1200      95         青灰色の 'd'
    ヤング・ゴールド・ドラゴン                 36    2   +0     300      63           黄色の 'd'
    ブロンズ・ドラゴン                         36    2   +0     440      70   明るい琥珀色の 'd'
    炎の使者                                   37    3  +10     500     100           黄色の 'd'
    ゴールド・ドラゴン                         37    2   +0     560      80           黄色の 'd'
    クリスタル・ドレイク                       37    2   +5     500     100           透明な 'd'
    骸骨ドラゴン                               37    3   +0  120d10      55   明るい青灰色の 'D'
    精霊馬                                     38    3  +13     813      13       明るい緑の 'q'
    古代ブロンズ・ドラゴン                     38    2  +10     730     100   明るい琥珀色の 'D'
    空飛ぶ鯨                                   38    6   +0     800      75       明るい青の 'l'
[U] 疾翼『メネルドール』                       38    1  +30    1300      65         琥珀色の 'B'
[U] 超大なる『ギガント』                       38    6   +0    2000      75         青灰色の 'l'
    クイックシルバー・ドラゴン                 39    3  +10     540     110         青灰色の 'd'
    七首ヒドラ                                 39    2  +10  100d10      90       明るい緑の 'M'
    ユニコーン                                 39    6  +10   30d50     100   明るい青灰色の 'q'
    古代グリーン・ドラゴン                     39    1  +10     720      85       明るい緑の 'D'
    古代ブルー・ドラゴン                       39    1  +10     720      85       明るい青の 'D'
    古代ホワイト・ドラゴン                     39    1  +10     720      85             白い 'D'
    古代ブラック・ドラゴン                     39    1  +10     720      85         青灰色の 'D'
    ナイトメア                                 39    3  +10    1500      85             紫の 'q'
[U] 『スキュラ』                               39    2  +15    1500      90       明るい緑の 'M'
    邪舞邪舞鳥                                 40    3   +0   80d13      70         琥珀色の 'B'
[U] ジュリアンの乗馬『明の明星』               40    3  +20    3000     100   明るい青灰色の 'q'
[U] ラオウの愛馬『黒王号』                     40    3  +20    3000     100           灰色の 'q'
    古代レッド・ドラゴン                       40    1  +10     828      90             赤い 'D'
    九首ヒドラ                                 40    2  +10  100d12      95       オレンジの 'M'
[U] 多首の『カブラックス』                     40    3  +10    1300      85           万色の 'd'
[U] 幻の鯨『イッカク』                         40   20  +20    2500     100             白い 'l'
