Monster Spoilers for 変愚蛮怒 3.0.0Alpha54
------------------------------------------

Name                                          Lev  Rar  Spd      Hp      Ac          Visual Info
--------------------------------------------- ---  ---  ---   -----   -----  -------------------
    汚いイタズラ小僧                            0    2   +0     1d4       1           灰色の 't'
    やせこけた猫                                0    3   +0     1d2       1   明るい琥珀色の 'f'
    すずめ                                      0    3   +0       1       1   明るい琥珀色の 'B'
    ズアオアトリ                                0    3   +0       1       1             赤い 'B'
    野うさぎ                                    0    3   +0     1d2       1   明るい琥珀色の 'r'
    きこり                                      0    1   +0     3d3       1             緑の 'p'
    みすぼらしい子犬                            0    3   +0     1d3       1   明るい琥珀色の 'C'
[U] 農夫『マゴット』                            0    3   +0     350      10             白い 'h'
    泣きじゃくる白痴                            0    1   +0     1d2       1   明るい青灰色の 't'
    醜い浮浪者                                  0    1   +0     1d2       1             緑の 't'
    わめくキチガイ                              0    1  +10     4d4       1       明るい緑の 't'
    哀れな身なりの乞食                          0    1   +0     1d4       1   明るい琥珀色の 't'
    不潔な病人                                  0    1   +0       1       1         琥珀色の 't'
    ブラックマーケットのエージェント            0    1   +0     2d8       8           灰色の 't'
    歌を口ずさむ幸せな酔っぱらい                0    1   +0     2d3       1           黄色の 't'
    あてどなくふらつく商人                      0    1   +0     3d3       1       オレンジの 't'
    貧しげな傭兵                                0    1   +0     5d8      20       明るい赤の 't'
    戦傷兵士                                    0    1   +0     7d8      30             赤い 't'
[U] 『らいおんはーと』                          0  255   +1     400      15         青灰色の 'f'
    やせこけた馬                                0    1   +0     4d5       5       オレンジの 'q'
[U] イークの大統領『ノボータ・ケシータ』        0  255   -1     200      15             白い 'y'
[U] 『森トロル』                                0  255   -1     700      15       明るい緑の 'T'
[U] 鳩『ポッポ』                                0    4   +1     400      15           万色の 'B'
    さまようもの                                0   30   +0       1       1             青い 'G'
[U] 偉大なる祖国の『ライカ』                    0    3   +5      20       5       明るい赤の 'C'
[U] 『ボルガ博士』                              0   10   -1      30     150             白い 't'
    点滅する点                                  1    1   +0     1d2       1         青灰色の ','
    白ベトベト                                  1    1   +0     2d5       7             白い 'i'
    巨大ハツカネズミ                            1    1   +0     1d3       4             白い 'r'
    フローティング・アイ                        1    1   +0     3d6       6             青い 'e'
    ジャッカル                                  1    1   +0     1d4       3   明るい琥珀色の 'C'
    フルーツ・コウモリ                          1    1  +10     1d6       3             紫の 'b'
    蟲の大群                                    1    1  +10     2d2       4         琥珀色の 'I'
    爆弾をとりつけられた蚊                      1    3  +10       1      50           灰色の 'I'
    大白ヘビ                                    1    1  -10     3d6      30             白い 'J'
    イモリ                                      1    1   +0     2d6      12           黄色の 'R'
    巨大白ムカデ                                1    1   +0     3d5      10             白い 'c'
    白イモムシの大群                            1    1  -10     4d4       1             白い 'w'
    岩トカゲ                                    1    1   +0     3d4       4   明るい琥珀色の 'R'
    グリッドバグ                                1    3   +0     2d4       2             紫の 'I'
    グレイ・モルド                              1    1   +0     1d2       1         青灰色の 'm'
    土ヘビ                                      1    1  -10     4d6      35         琥珀色の 'J'
    兵隊アリ                                    1    1   +0     2d5       3         琥珀色の 'a'
    ハリモグラ                                  1    3   +0     1d2       1         琥珀色の 'r'
    スモール・コボルド                          1    1   +0     2d7      16       明るい緑の 'k'
[U] 『グレーター・ヘル=ビースト』               1    6   +5    1500     100         青灰色の 'U'
    透明ベトベト                                2    1   +0     3d5       6           透明な 'i'
    絶叫おばけキノコ                            2    1   +0       1       1       明るい赤の ','
    黄おばけキノコ                              2    1   +0       1       1           黄色の ','
    銀緑ムカデ                                  2    1  +10     4d4       4       明るい緑の 'c'
    緑イモムシの大群                            2    1  -10     6d4       3             緑の 'w'
    クリボー                                    2    1   +0     4d4      20   明るい琥珀色の ','
    ブルー・イーク                              2    1   +0     2d6      14             青い 'y'
    ホワイト・ハーピー                          2    1   +0     2d5      17             白い 'H'
    号泣ベトベト                                2    1   +0     5d6       4             緑の 'i'
    見習戦士                                    2    1   +0     9d4      16   明るい琥珀色の 'p'
    見習盗賊                                    2    1   +0     8d4      12           灰色の 'p'
    巨大アマガエル                              2    1   +0     2d8       8             緑の 'R'
    見習プリースト                              2    1   +0     7d4      10       明るい青の 'p'
    見習メイジ                                  2    1   +0     6d4       6       明るい赤の 'p'
    洞窟蜘蛛                                    2    1  +10     2d6      16           灰色の 'S'
    巨大黒アリ                                  2    1   +0     3d6      20           灰色の 'a'
    カラス                                      2    2  +10      15      12         青灰色の 'B'
    山猫                                        2    2  +10     3d5      12   明るい琥珀色の 'f'
    大黄色ヘビ                                  2    1  -10     4d8      38           黄色の 'J'
    ホワイト・ゼリー                            2    1  +10     8d8       1             白い 'j'
    サラマンダー                                2    1   +0     4d6      20       オレンジの 'R'
[U] ベルゼバブの四天王『サイアーク』            2    1   +0       1       0         琥珀色の 'h'
[U] 農夫マゴットの飼犬『くいつき』              2    2  +10      25      30             白い 'C'
[U] 農夫マゴットの飼犬『おおかみ』              2    2  +10      25      30             白い 'C'
[U] 農夫マゴットの飼犬『きば』                  2    2  +10      25      30             白い 'C'
[U] 好まざる猫『フリージア』                    2    1  +10      25      30         琥珀色の 'f'
    巨大白シラミ                                3    1  +10       1       5             白い 'I'
    斑点おばけキノコ                            3    1   +0       1       1       オレンジの ','
    コボルド                                    3    1   +0     5d5      16             緑の 'k'
    グリーン・ウーズ                            3    2  +10     3d4      16             緑の 'j'
    貧弱ホビット                                3    1   +0     3d5       8         青灰色の 'h'
    黄イモムシの大群                            3    2  -10     4d8       4           黄色の 'w'
    透明イモムシの大群                          3    2  -10     4d4       1           透明な 'w'
    発光アイ                                    3    1   +0     3d6       6       明るい赤の 'e'
    銀青ムカデ                                  3    1  +10     4d5       6       明るい青の 'c'
