Monster Spoilers for 変愚蛮怒 3.0.0Alpha6
------------------------------------------

[1]: 汚いイタズラ小僧 (レベル0, 't')
  -(10)-> [14]: ブラックマーケットのエージェント (レベル0, 't')
    -(10)-> [44]: 見習盗賊 (レベル2, 'p')
      -(50)-> [150]: 追い剥ぎ (レベル8, 'p')
        -(100)-> [199]: 徴税官 (レベル10, 'p')
          -(500)-> [376]: 大盗賊 (レベル23, 'p')
            -(2500)-> [516]: 大泥棒 (レベル34, 'p')
              -(3000)-> [1024]: 盗賊の頭領 (レベル46, 'p')

[2]: やせこけた猫 (レベル0, 'f')
  -(5)-> [62]: 山猫 (レベル2, 'f')
    -(80)-> [198]: 黒豹 (レベル10, 'f')
      -(150)-> [230]: トラ (レベル12, 'f')
        -(500)-> [339]: サーベル・タイガー (レベル20, 'f')

[5]: 野うさぎ (レベル0, 'r')
  -(200)-> [205]: ヴォーパル・バニー (レベル11, 'r')

[6]: きこり (レベル0, 'p')
  -(100)-> [83]: 見習レンジャー (レベル4, 'p')
    -(500)-> [1039]: レンジャー (レベル20, 'p')

[7]: みすぼらしい子犬 (レベル0, 'C')
  -(6)-> [35]: ジャッカル (レベル1, 'C')
    -(40)-> [196]: 狼 (レベル10, 'C')
      -(100)-> [211]: 白狼 (レベル12, 'C')
        -(150)-> [257]: ワーグ (レベル14, 'C')
          -(500)-> [347]: ワーウルフ (レベル20, 'C')

[12]: 哀れな身なりの乞食 (レベル0, 't')
  -(10)-> [14]: ブラックマーケットのエージェント (レベル0, 't')
    -(10)-> [44]: 見習盗賊 (レベル2, 'p')
      -(50)-> [150]: 追い剥ぎ (レベル8, 'p')
        -(100)-> [199]: 徴税官 (レベル10, 'p')
          -(500)-> [376]: 大盗賊 (レベル23, 'p')
            -(2500)-> [516]: 大泥棒 (レベル34, 'p')
              -(3000)-> [1024]: 盗賊の頭領 (レベル46, 'p')

[17]: 貧しげな傭兵 (レベル0, 't')
